"Date","Price","Open","High","Low","Vol.","Change %"
"28/02/2010","3,910.42","3,739.56","3,910.42","3,724.84","691.48M","5.44%"
"21/02/2010","3,708.80","3,780.68","3,791.56","3,633.81","749.01M","-1.61%"
"14/02/2010","3,769.54","3,621.41","3,772.67","3,599.63","676.63M","4.74%"
"07/02/2010","3,599.07","3,595.38","3,675.64","3,545.91","953.19M","0.99%"
"31/01/2010","3,563.76","3,713.17","3,831.38","3,563.76","818.13M","-4.70%"
"24/01/2010","3,739.46","3,793.63","3,833.44","3,688.79","727.19M","-2.13%"
"17/01/2010","3,820.78","3,971.17","4,019.88","3,786.29","628.89M","-3.38%"
"10/01/2010","3,954.38","4,071.40","4,088.18","3,949.90","623.82M","-2.24%"
"03/01/2010","4,045.14","3,952.21","4,051.41","3,950.61","603.22M","2.76%"
"27/12/2009","3,936.33","3,939.66","3,976.92","3,928.20","188.65M","0.60%"
"20/12/2009","3,912.73","3,807.84","3,930.76","3,802.13","288.19M","3.12%"
"13/12/2009","3,794.44","3,839.75","3,878.20","3,793.65","635.39M","-0.24%"
"06/12/2009","3,803.72","3,836.05","3,854.08","3,734.71","584.55M","-1.12%"
"29/11/2009","3,846.62","3,732.63","3,876.23","3,669.27","621.78M","3.36%"
"22/11/2009","3,721.45","3,766.38","3,828.69","3,610.81","718.34M","-0.21%"
"15/11/2009","3,729.36","3,837.24","3,868.16","3,714.42","655.17M","-2.01%"
"08/11/2009","3,806.01","3,737.43","3,843.88","3,737.37","632.40M","2.66%"
"01/11/2009","3,707.29","3,603.64","3,728.76","3,549.65","734.37M","2.76%"
"25/10/2009","3,607.69","3,823.82","3,838.45","3,600.46","917.39M","-5.27%"
"18/10/2009","3,808.24","3,842.54","3,913.81","3,792.48","681.85M","-0.51%"
"11/10/2009","3,827.60","3,813.38","3,907.49","3,790.66","752.48M","0.74%"
"04/10/2009","3,799.61","3,651.98","3,822.96","3,629.41","707.30M","4.10%"
"27/09/2009","3,649.90","3,727.77","3,845.01","3,627.40","739.93M","-2.39%"
"20/09/2009","3,739.14","3,827.45","3,856.67","3,731.99","674.17M","-2.32%"
"13/09/2009","3,827.84","3,694.69","3,853.97","3,674.22","871.51M","2.49%"
"06/09/2009","3,734.89","3,625.53","3,751.44","3,621.60","733.22M","3.78%"
"30/08/2009","3,598.76","3,668.37","3,686.08","3,535.49","760.78M","-2.56%"
"23/08/2009","3,693.14","3,631.42","3,724.34","3,614.61","704.22M","2.14%"
"16/08/2009","3,615.81","3,472.39","3,623.35","3,396.60","539.00M","3.45%"
"09/08/2009","3,495.27","3,504.99","3,558.47","3,435.87","557.89M","-0.73%"
"02/08/2009","3,521.14","3,427.45","3,539.31","3,417.82","728.02M","2.77%"
"26/07/2009","3,426.27","3,405.16","3,455.51","3,322.21","698.25M","1.78%"
"19/07/2009","3,366.45","3,252.15","3,408.28","3,233.94","589.46M","4.60%"
"12/07/2009","3,218.46","2,974.33","3,235.82","2,957.83","599.76M","7.89%"
"05/07/2009","2,983.10","3,089.20","3,112.95","2,976.81","585.31M","-4.37%"
"28/06/2009","3,119.51","3,122.54","3,233.60","3,092.18","592.06M","-0.33%"
"21/06/2009","3,129.73","3,221.16","3,224.42","3,097.39","662.98M","-2.84%"
"14/06/2009","3,221.27","3,308.57","3,308.57","3,136.91","745.22M","-3.15%"
"07/06/2009","3,326.14","3,327.56","3,370.87","3,275.70","596.81M","-0.39%"
"31/05/2009","3,339.05","3,339.38","3,399.59","3,288.99","676.07M","1.87%"
"24/05/2009","3,277.65","3,235.22","3,317.58","3,168.22","610.92M","1.54%"
"17/05/2009","3,227.97","3,135.12","3,320.33","3,115.27","656.96M","1.86%"
"10/05/2009","3,169.05","3,312.65","3,312.65","3,118.06","822.00M","-4.33%"
"03/05/2009","3,312.59","3,180.26","3,355.95","3,168.25","948.09M","4.83%"
"26/04/2009","3,159.85","3,043.30","3,194.25","3,016.06","672.40M","1.84%"
"19/04/2009","3,102.85","3,081.15","3,102.85","2,898.52","844.79M","0.35%"
"12/04/2009","3,091.96","2,994.45","3,102.04","2,956.45","663.89M","3.96%"
"05/04/2009","2,974.18","2,993.08","3,018.36","2,847.96","645.41M","0.52%"
"29/03/2009","2,958.74","2,788.37","3,019.02","2,719.34","876.75M","4.16%"
"22/03/2009","2,840.62","2,845.77","2,918.23","2,801.94","810.45M","1.77%"
"15/03/2009","2,791.14","2,761.54","2,833.21","2,720.44","902.02M","3.16%"
"08/03/2009","2,705.63","2,552.99","2,771.72","2,465.46","1.05B","6.75%"
"01/03/2009","2,534.45","2,632.92","2,675.68","2,521.46","971.95M","-6.22%"
"22/02/2009","2,702.48","2,805.67","2,810.91","2,644.19","881.60M","-1.75%"
"15/02/2009","2,750.55","2,977.17","2,994.41","2,750.55","759.13M","-8.25%"
"08/02/2009","2,997.86","3,110.60","3,146.13","2,932.41","702.15M","-4.00%"
"01/02/2009","3,122.79","2,929.19","3,146.69","2,867.68","772.02M","5.01%"
"25/01/2009","2,973.92","2,838.74","3,085.69","2,834.54","846.74M","4.38%"
"18/01/2009","2,849.14","3,069.92","3,083.39","2,770.09","833.97M","-5.56%"
"11/01/2009","3,016.75","3,287.58","3,305.46","2,962.56","754.71M","-8.57%"
"04/01/2009","3,299.50","3,381.28","3,426.04","3,269.80","624.40M","-1.50%"
"28/12/2008","3,349.69","3,139.24","3,349.69","3,105.07","239.63M","7.49%"
"21/12/2008","3,116.21","3,201.66","3,209.35","3,094.69","241.71M","-3.40%"
"14/12/2008","3,225.90","3,258.25","3,305.02","3,146.82","798.42M","0.38%"
"07/12/2008","3,213.60","3,190.50","3,342.84","3,114.77","848.48M","7.55%"
"30/11/2008","2,988.01","3,261.33","3,272.09","2,956.75","776.63M","-8.42%"
"23/11/2008","3,262.68","2,959.52","3,274.71","2,931.49","854.34M","13.24%"
"16/11/2008","2,881.26","3,283.57","3,309.62","2,838.50","978.52M","-12.46%"
"09/11/2008","3,291.47","3,558.65","3,612.28","3,183.65","766.47M","-5.12%"
"02/11/2008","3,469.12","3,513.12","3,691.09","3,351.22","921.64M","-0.51%"
"26/10/2008","3,487.07","3,035.37","3,489.35","2,976.40","1.26B","9.18%"
"19/10/2008","3,193.79","3,413.83","3,545.53","2,959.29","1.14B","-4.09%"
"12/10/2008","3,329.92","3,379.53","3,766.88","3,115.89","1.53B","4.83%"
"05/10/2008","3,176.49","3,887.14","3,911.49","3,047.85","1.65B","-22.16%"
"28/09/2008","4,080.75","4,160.84","4,160.84","3,844.63","1.05B","-1.98%"
"21/09/2008","4,163.38","4,331.17","4,356.67","4,097.35","885.69M","-3.73%"
"14/09/2008","4,324.87","4,184.52","4,324.87","3,926.82","1.74B","-0.18%"
"07/09/2008","4,332.66","4,355.52","4,408.82","4,192.92","895.20M","3.24%"
"31/08/2008","4,196.66","4,455.59","4,558.56","4,181.61","831.70M","-6.38%"
"24/08/2008","4,482.60","4,383.24","4,508.67","4,296.24","625.43M","1.87%"
"17/08/2008","4,400.45","4,435.91","4,501.38","4,294.94","571.32M","-1.19%"
"10/08/2008","4,453.62","4,500.30","4,552.26","4,383.48","645.13M","-0.85%"
"03/08/2008","4,491.85","4,306.85","4,514.17","4,267.29","821.57M","4.11%"
"27/07/2008","4,314.34","4,367.50","4,448.05","4,256.36","776.07M","-1.44%"
"20/07/2008","4,377.18","4,310.16","4,440.89","4,259.29","1.01B","1.81%"
"13/07/2008","4,299.36","4,148.10","4,299.36","4,002.87","1.06B","4.85%"
"06/07/2008","4,100.64","4,305.29","4,350.94","4,100.64","910.95M","-3.88%"
"29/06/2008","4,266.00","4,404.49","4,439.78","4,224.13","947.35M","-2.99%"
"22/06/2008","4,397.32","4,497.30","4,538.54","4,348.31","896.10M","-2.48%"
"15/06/2008","4,509.27","4,686.68","4,723.25","4,475.13","927.91M","-3.70%"
"08/06/2008","4,682.30","4,779.43","4,821.27","4,614.54","878.07M","-2.36%"
"01/06/2008","4,795.32","5,008.94","5,012.01","4,793.72","808.73M","-4.37%"
"25/05/2008","5,014.28","4,910.53","5,028.80","4,893.86","668.67M","1.63%"
"18/05/2008","4,933.77","5,090.53","5,142.10","4,933.77","698.43M","-2.84%"
"11/05/2008","5,078.04","4,975.09","5,120.91","4,951.37","650.88M","2.37%"
"04/05/2008","4,960.56","5,062.70","5,100.10","4,925.05","564.51M","-2.15%"
"27/04/2008","5,069.71","4,989.92","5,099.39","4,935.10","542.47M","1.84%"
"20/04/2008","4,978.21","4,954.49","5,013.44","4,849.88","718.41M","0.33%"
"13/04/2008","4,961.69","4,755.07","4,976.37","4,741.06","778.90M","3.41%"
"06/04/2008","4,797.93","4,936.25","4,959.97","4,775.16","683.05M","-2.10%"
"30/03/2008","4,900.88","4,648.54","4,926.37","4,622.26","797.30M","4.36%"
"23/03/2008","4,695.92","4,692.17","4,750.63","4,647.54","626.71M","3.58%"
"16/03/2008","4,533.72","4,449.39","4,652.67","4,416.71","1.01B","-1.27%"
"09/03/2008","4,592.15","4,601.71","4,741.89","4,534.58","956.02M","-0.58%"
"02/03/2008","4,618.96","4,723.22","4,782.86","4,576.59","812.40M","-3.58%"
"24/02/2008","4,790.66","4,877.89","4,992.77","4,768.53","877.00M","-0.70%"
"17/02/2008","4,824.55","4,810.29","4,940.36","4,779.14","746.01M","1.11%"
"10/02/2008","4,771.79","4,653.15","4,926.33","4,644.74","872.90M","1.32%"
"03/02/2008","4,709.65","5,027.26","5,027.26","4,679.80","988.89M","-5.39%"
"27/01/2008","4,978.06","4,791.50","5,009.16","4,755.98","953.77M","2.05%"
"20/01/2008","4,878.12","5,006.48","5,012.53","4,505.14","1.74B","-4.21%"
"13/01/2008","5,092.40","5,345.83","5,421.22","5,081.23","1.03B","-5.19%"
"06/01/2008","5,371.41","5,432.00","5,533.93","5,349.25","899.06M","-1.38%"
"30/12/2007","5,446.79","5,621.12","5,665.94","5,417.53","402.69M","-3.21%"
"23/12/2007","5,627.25","5,619.86","5,656.14","5,593.92","170.75M","0.44%"
"16/12/2007","5,602.77","5,532.67","5,622.61","5,465.98","816.96M","-0.05%"
"09/12/2007","5,605.36","5,683.60","5,795.22","5,560.59","689.14M","-1.98%"
"02/12/2007","5,718.75","5,654.10","5,744.76","5,538.32","700.88M","0.85%"
"25/11/2007","5,670.57","5,558.06","5,685.53","5,383.67","787.87M","2.71%"
"18/11/2007","5,521.17","5,519.97","5,564.65","5,358.76","855.30M","-0.04%"
"11/11/2007","5,523.63","5,488.98","5,638.82","5,483.71","779.06M","-0.01%"
"04/11/2007","5,524.18","5,676.76","5,759.53","5,493.60","830.33M","-3.43%"
"28/10/2007","5,720.42","5,845.85","5,855.35","5,668.67","692.14M","-1.28%"
"21/10/2007","5,794.87","5,635.70","5,805.03","5,630.80","735.34M","0.95%"
"14/10/2007","5,740.48","5,842.88","5,867.95","5,728.36","709.16M","-1.77%"
"07/10/2007","5,843.95","5,852.32","5,882.07","5,779.04","641.63M","0.01%"
"30/09/2007","5,843.24","5,670.79","5,854.81","5,660.76","698.38M","2.23%"
"23/09/2007","5,715.69","5,686.47","5,752.89","5,608.69","739.62M","0.26%"
"16/09/2007","5,700.65","5,523.88","5,744.74","5,417.01","940.49M","2.92%"
"09/09/2007","5,538.92","5,432.08","5,574.62","5,378.04","809.66M","2.00%"
"02/09/2007","5,430.10","5,683.10","5,683.10","5,417.26","681.03M","-4.11%"
"26/08/2007","5,662.70","5,598.73","5,686.47","5,425.90","621.49M","1.68%"
"19/08/2007","5,569.38","5,428.67","5,596.16","5,345.08","608.28M","3.84%"
"12/08/2007","5,363.63","5,512.93","5,576.89","5,217.70","1.01B","-1.56%"
"05/08/2007","5,448.63","5,532.59","5,766.56","5,434.93","1.03B","-2.67%"
"29/07/2007","5,597.89","5,649.05","5,754.00","5,561.87","954.66M","-0.82%"
"22/07/2007","5,643.96","5,936.28","6,009.16","5,608.28","834.11M","-5.26%"
"15/07/2007","5,957.16","6,131.74","6,132.29","5,952.22","574.37M","-2.63%"
"08/07/2007","6,117.96","6,118.63","6,156.16","5,936.90","685.43M","0.25%"
"01/07/2007","6,102.69","6,021.10","6,115.09","6,011.38","522.84M","0.79%"
"24/06/2007","6,054.93","5,971.96","6,054.93","5,897.80","688.94M","0.53%"
